,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
161,medium1k,mpnet,mean,soft_cosine,random5,gmm70,1.0,432.0,0.209,2.473693484824801
162,medium1k,mpnet,mean,soft_cosine,random5,gmm70,2.0,851.0,0.411,2.473693484824801
163,medium1k,mpnet,mean,soft_cosine,random5,gmm70,3.0,431.0,0.208,2.473693484824801
164,medium1k,mpnet,mean,soft_cosine,random10,kmeans50,1.0,459.0,0.224,2.0449683989693477
165,medium1k,mpnet,mean,soft_cosine,random10,kmeans50,2.0,632.0,0.308,2.0449683989693477
166,medium1k,mpnet,mean,soft_cosine,random10,kmeans50,3.0,757.0,0.369,2.0449683989693477
167,medium1k,mpnet,mean,soft_cosine,random10,kmeans70,1.0,635.0,0.307,2.1066939755986556
168,medium1k,mpnet,mean,soft_cosine,random10,kmeans70,2.0,518.0,0.25,2.1066939755986556
169,medium1k,mpnet,mean,soft_cosine,random10,kmeans70,3.0,674.0,0.325,2.1066939755986556
170,medium1k,mpnet,mean,soft_cosine,random10,gmm50,1.0,427.0,0.208,2.111968974956134
171,medium1k,mpnet,mean,soft_cosine,random10,gmm50,2.0,539.0,0.263,2.111968974956134
172,medium1k,mpnet,mean,soft_cosine,random10,gmm50,3.0,868.0,0.423,2.111968974956134
173,medium1k,mpnet,mean,soft_cosine,random10,gmm70,1.0,643.0,0.31,2.319267777997313
174,medium1k,mpnet,mean,soft_cosine,random10,gmm70,2.0,557.0,0.269,2.319267777997313
175,medium1k,mpnet,mean,soft_cosine,random10,gmm70,3.0,609.0,0.294,2.319267777997313
176,medium1k,mpnet,mean,soft_cosine,random25,kmeans50,1.0,399.0,0.195,2.0027426864419664
177,medium1k,mpnet,mean,soft_cosine,random25,kmeans50,2.0,168.0,0.082,2.0027426864419664
178,medium1k,mpnet,mean,soft_cosine,random25,kmeans50,3.0,1356.0,0.661,2.0027426864419664
179,medium1k,mpnet,mean,soft_cosine,random25,kmeans70,1.0,552.0,0.267,1.9576573157594317
180,medium1k,mpnet,mean,soft_cosine,random25,kmeans70,2.0,107.0,0.052,1.9576573157594317
