,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
169,medium1k,nomic,mean,soft_cosine,random10,kmeans70,3.0,463.0,0.224,2.8307526673910752
170,medium1k,nomic,mean,soft_cosine,random10,gmm50,1.0,407.0,0.198,2.7608893144468545
171,medium1k,nomic,mean,soft_cosine,random10,gmm50,2.0,626.0,0.305,2.7608893144468545
172,medium1k,nomic,mean,soft_cosine,random10,gmm50,3.0,768.0,0.374,2.7608893144468545
173,medium1k,nomic,mean,soft_cosine,random10,gmm70,1.0,625.0,0.302,3.0833464178976535
174,medium1k,nomic,mean,soft_cosine,random10,gmm70,2.0,522.0,0.252,3.0833464178976535
175,medium1k,nomic,mean,soft_cosine,random10,gmm70,3.0,625.0,0.302,3.0833464178976535
176,medium1k,nomic,mean,soft_cosine,random25,kmeans50,1.0,182.0,0.089,2.519055069694596
177,medium1k,nomic,mean,soft_cosine,random25,kmeans50,2.0,109.0,0.053,2.519055069694596
178,medium1k,nomic,mean,soft_cosine,random25,kmeans50,3.0,1612.0,0.786,2.519055069694596
179,medium1k,nomic,mean,soft_cosine,random25,kmeans70,1.0,669.0,0.323,2.735116483135657
180,medium1k,nomic,mean,soft_cosine,random25,kmeans70,2.0,143.0,0.069,2.735116483135657
181,medium1k,nomic,mean,soft_cosine,random25,kmeans70,3.0,1042.0,0.503,2.735116483135657
182,medium1k,nomic,mean,soft_cosine,random25,gmm50,1.0,441.0,0.215,2.494776346812061
183,medium1k,nomic,mean,soft_cosine,random25,gmm50,2.0,192.0,0.094,2.494776346812061
184,medium1k,nomic,mean,soft_cosine,random25,gmm50,3.0,1225.0,0.597,2.494776346812061
185,medium1k,nomic,mean,soft_cosine,random25,gmm70,1.0,575.0,0.278,2.5741341283508374
186,medium1k,nomic,mean,soft_cosine,random25,gmm70,2.0,93.0,0.045,2.5741341283508374
187,medium1k,nomic,mean,soft_cosine,random25,gmm70,3.0,1306.0,0.631,2.5741341283508374
188,medium1k,nomic,mean,soft_cosine,knn50,kmeans50,1.0,3.0,0.001,2.403958967411853
189,medium1k,nomic,mean,soft_cosine,knn50,kmeans50,2.0,49.0,0.024,2.403958967411853
190,medium1k,nomic,mean,soft_cosine,knn50,kmeans50,3.0,1997.0,0.974,2.403958967411853
191,medium1k,nomic,mean,soft_cosine,knn50,kmeans70,1.0,320.0,0.155,2.4871633046895116
192,medium1k,nomic,mean,soft_cosine,knn50,kmeans70,2.0,52.0,0.025,2.4871633046895116
193,medium1k,nomic,mean,soft_cosine,knn50,kmeans70,3.0,1641.0,0.792,2.4871633046895116
194,medium1k,nomic,mean,soft_cosine,knn50,gmm50,1.0,6.0,0.003,2.3914253138776482
195,medium1k,nomic,mean,soft_cosine,knn50,gmm50,2.0,49.0,0.024,2.3914253138776482
196,medium1k,nomic,mean,soft_cosine,knn50,gmm50,3.0,1991.0,0.971,2.3914253138776482
197,medium1k,nomic,mean,soft_cosine,knn50,gmm70,1.0,422.0,0.204,2.496891877867959
198,medium1k,nomic,mean,soft_cosine,knn50,gmm70,2.0,50.0,0.024,2.496891877867959
199,medium1k,nomic,mean,soft_cosine,knn50,gmm70,3.0,1491.0,0.72,2.496891877867959
200,medium1k,nomic,mean,soft_cosine,knn70,kmeans50,1.0,3.0,0.001,2.310526892179396
201,medium1k,nomic,mean,soft_cosine,knn70,kmeans50,2.0,49.0,0.024,2.310526892179396
202,medium1k,nomic,mean,soft_cosine,knn70,kmeans50,3.0,1997.0,0.974,2.310526892179396
203,medium1k,nomic,mean,soft_cosine,knn70,kmeans70,1.0,2.0,0.001,2.4053789354659414
204,medium1k,nomic,mean,soft_cosine,knn70,kmeans70,2.0,69.0,0.033,2.4053789354659414
205,medium1k,nomic,mean,soft_cosine,knn70,kmeans70,3.0,1998.0,0.965,2.4053789354659414
